Aborted_clients 由於客戶沒有正確關閉連接已經死掉，已經放棄的連接數量。 
Aborted_connects 嘗試已經失敗的MySQL伺服器的連接的次數。 
Connections 試圖連接MySQL伺服器的次數。 
Created_tmp_tables 當執行語句時，已經被創造了的隱含臨時表的數量。 
Delayed_insert_threads 正在使用的延遲插入處理器執行緒的數量。 
Delayed_writes 用INSERT DELAYED寫入的行數。 
Delayed_errors 用INSERT DELAYED寫入的發生某些錯誤(可能重複鍵值)的行數。 
Flush_commands 執行FLUSH命令的次數。 
Handler_delete 請求從一張表中刪除行的次數。 
Handler_read_first 請求讀入表中第一行的次數。 
Handler_read_key 請求數字基於鍵讀行。 
Handler_read_next 請求讀入基於一個鍵的一行的次數。 
Handler_read_rnd 請求讀入基於一個固定位置的一行的次數。 
Handler_update 請求更新表中一行的次數。 
Handler_write 請求向表中插入一行的次數。 
Key_blocks_used 用於關鍵字緩存的塊的數量。 
Key_read_requests 請求從緩存讀入一個鍵值的次數。 
Key_reads 從磁碟物理讀入一個鍵值的次數。 
Key_write_requests 請求將一個關鍵字塊寫入緩存次數。 
Key_writes 將一個鍵值塊物理寫入磁碟的次數。 
Max_used_connections 同時使用的連接的最大數目。 
Not_flushed_key_blocks 在鍵緩存中已經改變但是還沒被清空到磁碟上的鍵塊。 
Not_flushed_delayed_rows 在INSERT DELAY隊列中等待寫入的行的數量。 
Open_tables 打開表的數量。 
Open_files 打開文件的數量。 
Open_streams 打開流的數量(主要用於日誌記載） 
Opened_tables 已經打開的表的數量。 
Questions 發往伺服器的查詢的數量。 
Slow_queries 要花超過long_query_time時間的查詢數量。 
Threads_connected 當前打開的連接的數量。 
Threads_running 不在睡眠的執行緒數量。 
Uptime 伺服器工作了多少秒。
